status;datetime;card_num;card_num_md5;load_date
не выдана;2024-07-01 00:38:10;8497994226502765;8a890d15dde5b1eafdfe4ada8b13fcf0;2024-07-01
выдана;2024-07-01 07:14:10;9403197162733118;6645b67dfdb812213cc9722ab09d7f16;2024-07-01
не выдана;2024-07-01 03:01:10;4670009276200076;5e9d4ed4b0efa6e155fb3c95620c2a05;2024-07-01
не выдана;2024-07-01 18:30:10;2442103960971392;067ee3a571b75b66d2227e001dd86dc0;2024-07-01
не выдана;2024-07-01 15:25:10;0319880015406659;1a122d4ddceae2f469378fe4b064a77a;2024-07-01
выдана;2024-07-01 20:09:10;6617468085694733;a228d92dd93f0980704412ccb3db0755;2024-07-01
не выдана;2024-07-01 05:10:10;9005949636490550;ba4fc1f7cdf6cba78d0899e449e29e31;2024-07-01
выдана;2024-07-01 21:41:10;1998968241028559;f21500c219654819cb72ecc7dcc0f544;2024-07-01
не выдана;2024-07-01 11:11:10;6572926412241817;010eae9b0156c07bf275331b4e54a4d1;2024-07-01
выдана;2024-07-01 13:56:10;6195746821507933;ab29330044c8dd0e75ad42093070d3a8;2024-07-01
выдана;2024-07-01 10:51:10;8191018534623773;74daab3ef05f8f22cc6e78310805b33d;2024-07-01
выдана;2024-07-01 01:37:10;6599483469029943;adbbd28cff4ab4f7381322558359adee;2024-07-01
выдана;2024-07-01 21:17:10;1096527385098206;149364883068e1d344af3a314f63087e;2024-07-01
выдана;2024-07-01 12:28:10;0281764067659511;e2cb58d061d3e61f6356e528809604d2;2024-07-01
выдана;2024-07-01 17:24:10;4746269828123249;844d2a4bf346fe0d8e769e698add347c;2024-07-01
не выдана;2024-07-01 19:20:10;2064509879777702;ca5697060bf9be386ea311293f92c4e5;2024-07-01
выдана;2024-07-01 23:18:10;0437447436701349;65b22f9aabfefb8a6a61684415e6c616;2024-07-01
не выдана;2024-07-01 21:20:10;3144162043506530;8b5a9d6a9994afe87eb0dcfc4c5e261c;2024-07-01
выдана;2024-07-01 04:23:10;5787094790796327;67410cf2454971ea5928a85fd532d4c1;2024-07-01
выдана;2024-07-01 13:32:10;9539465807495975;9d70412bfe8a49ff3b62468f9592acbf;2024-07-01
выдана;2024-07-01 23:13:10;7024295012983185;db7a13feea6c234ffcfe2c39207ca483;2024-07-01
выдана;2024-07-01 06:36:10;1141580498049447;4a77116e75f074e1b424dead415e17c7;2024-07-01
не выдана;2024-07-01 19:29:10;8580366614185624;2754e790ece3ee9fe20c00cf50221254;2024-07-01
выдана;2024-07-01 12:45:10;6058246846988542;6ec73a84a0aff04149bb6043767dba4f;2024-07-01
выдана;2024-07-01 08:29:10;5919635916628727;2e617f704e0e6ac56939fcf6d74948c1;2024-07-01
не выдана;2024-07-01 03:28:10;0890458159318994;22be878222c86f4966a7f8c3219da11b;2024-07-01
не выдана;2024-07-01 17:24:10;3965283027299426;23cc091fe1108d9c7600b7164fd18b7d;2024-07-01
выдана;2024-07-01 08:20:10;0542709786630507;fad0b67b85e09727368916089d4e1a7f;2024-07-01
выдана;2024-07-01 06:48:10;5709183314551803;12edd2f698245dfee3ecb835f0cd10e1;2024-07-01
выдана;2024-07-01 06:10:10;1974698976811937;97227fb7ddd324904d8f6fc24af208fb;2024-07-01
не выдана;2024-07-01 14:31:10;7504649936638068;09fc1f747f5c49c42326dc3ccf5b3cd1;2024-07-01
не выдана;2024-07-01 23:41:10;4123621241710677;075912788c16da6759018e949f8461fb;2024-07-01
выдана;2024-07-01 09:37:10;9574737888933343;7134a91f8a77ef902a728e553c7f1837;2024-07-01
выдана;2024-07-01 09:36:10;7938451883284411;66b26bdb97710a8460d9a7b1927de570;2024-07-01
выдана;2024-07-01 19:21:10;2115734669107628;271938b96138fd3ee0e5cee0041f1713;2024-07-01
не выдана;2024-07-01 11:08:10;6945991193552768;fc4610a7bddeb24ff171c9607d01854d;2024-07-01
выдана;2024-07-01 15:09:10;1909434668478213;6b30618175f00e86d823689ad5cfcb29;2024-07-01
не выдана;2024-07-01 12:12:10;4778623277493928;92196c498d3655e10148954c2db6cdac;2024-07-01
не выдана;2024-07-01 18:27:10;1377076755143371;220682908e1018ce5c3aaea8f9fe57a8;2024-07-01
выдана;2024-07-01 21:15:10;2517932189411223;153feaa95611327a3e54946b807e7f51;2024-07-01
выдана;2024-07-01 14:49:10;9096082439755329;94605f78372c9f69717407c457b979bc;2024-07-01
выдана;2024-07-01 05:59:10;0162240485103303;a3a9a9775023289bac4954b360cbe9fd;2024-07-01
не выдана;2024-07-01 18:01:10;9383062813743930;88424a7c0e0078d81cb4b0a12d8b22c9;2024-07-01
не выдана;2024-07-01 23:03:10;4084423916162173;1fc14b6c23595c6212f96619af5c7426;2024-07-01
выдана;2024-07-01 04:04:10;7219233801008271;6726f6aae308ee72d9bb6331e6e1fa5a;2024-07-01
не выдана;2024-07-01 15:14:10;4982393912781788;57e372139825f60eef74438568dee5a2;2024-07-01
выдана;2024-07-01 04:19:10;7371744175680876;2cd94af84eb5d84aacbb5afecbdc59cd;2024-07-01
выдана;2024-07-01 13:44:10;2456836587187701;3ac2d410a05b8f70efe0a90cf10a1005;2024-07-01
выдана;2024-07-01 00:32:10;9353747842806482;ebccc62c02dbec016731444510463513;2024-07-01
не выдана;2024-07-01 14:07:10;5480788127563769;ede5423f5b1f23a2e66d8c12b1da1579;2024-07-01
выдана;2024-07-01 19:28:10;1935473798191719;7446094e9c85eac597aa84b548c3233f;2024-07-01
выдана;2024-07-01 09:28:10;7542129570036580;d3910288783d9ba79bda59e958af7b3c;2024-07-01
не выдана;2024-07-01 11:07:10;4630237501472618;0d0cf75dae641f251ddb329d118f3554;2024-07-01
выдана;2024-07-01 23:10:10;1741143516898358;efd356cd0f0545ab0992f2a7f6abcd6c;2024-07-01
выдана;2024-07-01 10:58:10;9823403970165469;b90f1346370653f94d77dba94809ac90;2024-07-01
не выдана;2024-07-01 04:00:10;4576936190332403;461341f054165adbd53ed026425d109d;2024-07-01
не выдана;2024-07-01 09:23:10;1280215367127562;0a0b368f49af766361fd6dc5d5150899;2024-07-01
не выдана;2024-07-01 09:27:10;6206308191424786;141bdc805b3f5a1cdf503d33068e3774;2024-07-01
не выдана;2024-07-01 11:02:10;4614238362070445;4b18785ef01380c3ebb7e66e5fc57289;2024-07-01
не выдана;2024-07-01 12:28:10;2529086037168156;3891d9729c0aebc26a96b0477bac9cfa;2024-07-01
выдана;2024-07-01 01:01:10;0005538167587579;4da21e705cb419a5afe9f3e5dacf60bf;2024-07-01
не выдана;2024-07-01 05:20:10;7839349554619952;49f69de7f8537644b307ddb2f87f4186;2024-07-01
не выдана;2024-07-01 06:50:10;8159393393915833;738d03e3e8349a332c2bd30417c1c42a;2024-07-01
выдана;2024-07-01 01:51:10;3442724124461535;3e7802d5e1212f6fcb6bfba44e3e21b0;2024-07-01
выдана;2024-07-01 14:12:10;0857037880393276;98c9450c16967df6dfa2063d3d399e2a;2024-07-01
не выдана;2024-07-01 21:49:10;3720089886553549;e01b43dafbff16d02bebc63192b623cc;2024-07-01
не выдана;2024-07-01 21:16:10;3504200376701032;e8d1ca1eecb98ed5f8d152dbda7c7405;2024-07-01
не выдана;2024-07-01 07:38:10;7864642759479748;baaf5c120bcaf54c67e0abfb1ae613b4;2024-07-01
выдана;2024-07-01 18:15:10;9638155261016149;2855d9e42f420a84d7fde9d12a8e64fc;2024-07-01
выдана;2024-07-01 10:26:10;3828860029444799;c4a0f7e9200d34d4643a0a9c70e44566;2024-07-01
выдана;2024-07-01 02:05:10;9236106841766441;4f9a3b5c3b9cdc15b7b1992322cda5f5;2024-07-01
выдана;2024-07-01 11:21:10;5096145654376788;324af89da2ce427ca4133c374ebc960b;2024-07-01
не выдана;2024-07-01 06:56:10;9916519442031686;eb695214e599e5c7979af298e02884a4;2024-07-01
выдана;2024-07-01 03:57:10;4245178855614643;d01e37409d2d1722f446437b4436a0c4;2024-07-01
не выдана;2024-07-01 20:48:10;3838827834340938;846eca79d523822de12e203578caef41;2024-07-01
не выдана;2024-07-01 18:38:10;6030483987202287;17574d1a525532b0e9064f7d2c907725;2024-07-01
выдана;2024-07-01 01:13:10;9768034241585632;76c5432da8717320e90da0d020fafc58;2024-07-01
не выдана;2024-07-01 23:52:10;6431170259936014;be4b1ddad15834fa6634ecdb3e201137;2024-07-01
не выдана;2024-07-01 06:09:10;8696006784011963;60d79fb76780710bd65654f9db96afdb;2024-07-01
не выдана;2024-07-01 09:20:10;1789760612581922;386db8a246068fd108b274bab5267b09;2024-07-01
не выдана;2024-07-01 04:58:10;3579777721253665;c86ce84580b694df6ecb58ed31cd9d7e;2024-07-01
не выдана;2024-07-01 17:25:10;6244100592956763;7016cafeac8c275a1a640e0e24b8b256;2024-07-01
не выдана;2024-07-01 06:15:10;7466102458485046;a53bb5b0a6d680cbe683fea236180237;2024-07-01
не выдана;2024-07-01 21:11:10;3746727798476770;1541a40f13b87ad7c6479bb2aaa11a79;2024-07-01
выдана;2024-07-01 23:13:10;2145230227009354;03fe68820b768d99ec23d60313cb1d35;2024-07-01
не выдана;2024-07-01 06:26:10;5841386972734530;f7a5e41d0015e4742e2ec2342dea8438;2024-07-01
выдана;2024-07-01 10:57:10;0153027993228699;7364054316f74287f514c6032bab83d4;2024-07-01
не выдана;2024-07-01 19:58:10;4972258682910490;5521b72f43b0261822fdbcad3a2401ab;2024-07-01
